Product,Sales,Region,Tax_rate
Phone,1390,East,0.15
Monitor,954,South,0.15
Laptop,235,East,0.15
Tablet,614,East,0.15
Tablet,148,West,0.15
Tablet,1338,West,0.15
Laptop,907,South,0.15
Tablet,229,East,0.15
Laptop,1137,South,0.15
Tablet,558,South,0.15
Phone,106,West,0.15
Laptop,1277,South,0.15
Laptop,719,West,0.15
Laptop,1483,South,0.15
Laptop,1080,East,0.15
Phone,674,North,0.15
Monitor,1024,West,0.15
Laptop,1095,East,0.15
Laptop,278,South,0.15
Monitor,1126,West,0.15
Tablet,345,West,0.15
Laptop,460,West,0.15
Monitor,275,North,0.15
Tablet,1421,West,0.15
Laptop,736,East,0.15
Phone,1044,North,0.15
Laptop,982,North,0.15
Phone,514,North,0.15
Laptop,600,South,0.15
Laptop,1486,East,0.15
Phone,814,East,0.15
Laptop,416,West,0.15
Tablet,219,North,0.15
Tablet,222,South,0.15
Monitor,792,East,0.15
Phone,220,South,0.15
Monitor,656,West,0.15
Monitor,958,South,0.15
Phone,961,West,0.15
Phone,664,South,0.15
Tablet,963,South,0.15
Monitor,632,West,0.15
Phone,549,North,0.15
Phone,148,East,0.15
Tablet,1060,South,0.15
Laptop,800,West,0.15
Monitor,684,East,0.15
Monitor,1232,West,0.15
Laptop,120,South,0.15
Monitor,880,East,0.15
Monitor,1334,North,0.15
Phone,909,North,0.15
Laptop,770,North,0.15
Tablet,342,North,0.15
Monitor,683,North,0.15
Laptop,1318,East,0.15
Monitor,417,West,0.15
Phone,703,North,0.15
Laptop,562,North,0.15
Monitor,426,East,0.15
Laptop,384,South,0.15
Laptop,1010,West,0.15
Tablet,468,North,0.15
Tablet,319,East,0.15
Phone,701,North,0.15
Tablet,781,North,0.15
Laptop,555,East,0.15
Tablet,1442,West,0.15
Laptop,1099,East,0.15
Phone,205,North,0.15
Monitor,913,South,0.15
Tablet,841,North,0.15
Phone,393,West,0.15
Laptop,810,North,0.15
Tablet,452,South,0.15
Laptop,975,West,0.15
Tablet,1386,East,0.15
Monitor,351,South,0.15
Monitor,1475,West,0.15
Tablet,1283,West,0.15
Tablet,1422,East,0.15
Tablet,641,North,0.15
Monitor,142,East,0.15
Phone,1351,South,0.15
Phone,900,North,0.15
Phone,279,East,0.15
Laptop,422,North,0.15
Tablet,900,North,0.15
Tablet,589,South,0.15
Tablet,441,West,0.15
Tablet,292,South,0.15
Monitor,634,North,0.15
Phone,1079,North,0.15
Laptop,1412,South,0.15
Tablet,709,South,0.15
Tablet,169,West,0.15
Tablet,302,East,0.15
Monitor,1014,East,0.15
Laptop,1352,East,0.15
Phone,468,South,0.15
Monitor,680,West,0.15
Phone,894,East,0.15
Tablet,1278,South,0.15
Laptop,1066,East,0.15
Monitor,772,North,0.15
Monitor,739,North,0.15
Monitor,1107,North,0.15
Tablet,1479,East,0.15
Phone,954,West,0.15
Monitor,1274,North,0.15
Monitor,580,West,0.15
Monitor,1104,East,0.15
Tablet,493,South,0.15
Laptop,723,South,0.15
Laptop,1444,South,0.15
Laptop,938,South,0.15
Tablet,940,East,0.15
Tablet,1429,East,0.15
Laptop,655,West,0.15
Monitor,917,West,0.15
Monitor,1212,North,0.15
Laptop,209,North,0.15
Phone,1239,West,0.15
Monitor,126,North,0.15
Monitor,501,West,0.15
Laptop,1253,East,0.15
Phone,1250,West,0.15
Monitor,183,North,0.15
Phone,1405,East,0.15
Phone,880,East,0.15
Laptop,261,West,0.15
Monitor,1259,East,0.15
Tablet,427,West,0.15
Monitor,981,East,0.15
Phone,342,North,0.15
Laptop,1135,South,0.15
Tablet,1008,East,0.15
Laptop,1008,East,0.15
Laptop,289,North,0.15
Tablet,342,South,0.15
Tablet,1234,East,0.15
Tablet,427,South,0.15
Phone,101,South,0.15
Monitor,177,North,0.15
Phone,939,West,0.15
Laptop,482,West,0.15
Phone,1461,East,0.15
Tablet,861,West,0.15
Laptop,253,North,0.15
Tablet,685,East,0.15
Phone,1375,North,0.15
Phone,528,North,0.15
Laptop,443,West,0.15
Phone,1435,North,0.15
Monitor,383,North,0.15
Laptop,124,East,0.15
Monitor,908,South,0.15
Phone,202,East,0.15
Monitor,1243,South,0.15
Phone,357,South,0.15
Monitor,1343,South,0.15
Monitor,117,North,0.15
Monitor,551,East,0.15
Phone,1250,West,0.15
Phone,1358,South,0.15
Monitor,559,East,0.15
Phone,689,North,0.15
Laptop,795,East,0.15
Tablet,1174,South,0.15
Phone,958,West,0.15
Laptop,1452,South,0.15
Monitor,734,West,0.15
Laptop,1305,East,0.15
Phone,821,North,0.15
Laptop,813,East,0.15
Tablet,278,North,0.15
Laptop,1265,East,0.15
Phone,574,East,0.15
Monitor,121,North,0.15
Phone,1373,South,0.15
Laptop,843,East,0.15
Laptop,1430,West,0.15
Tablet,647,South,0.15
Monitor,631,East,0.15
Tablet,1157,North,0.15
Monitor,170,East,0.15
Tablet,809,West,0.15
Laptop,1081,West,0.15
Phone,706,North,0.15
Laptop,1090,East,0.15
Monitor,1217,East,0.15
Monitor,393,East,0.15
Monitor,1415,North,0.15
Laptop,1244,West,0.15
Laptop,611,East,0.15
Monitor,110,South,0.15
Tablet,1326,West,0.15
Monitor,697,South,0.15
Tablet,112,North,0.15
Tablet,1119,South,0.15
Monitor,205,West,0.15
Laptop,291,North,0.15
Phone,232,North,0.15
Phone,376,West,0.15
Tablet,1341,West,0.15
Phone,607,South,0.15
Tablet,871,East,0.15
Tablet,490,East,0.15
Tablet,196,West,0.15
Phone,889,North,0.15
Monitor,638,West,0.15
Laptop,1222,East,0.15
Phone,631,South,0.15
Laptop,252,South,0.15
Laptop,244,West,0.15
Laptop,1358,South,0.15
Phone,535,West,0.15
Phone,489,East,0.15
Monitor,1013,North,0.15
Tablet,1308,West,0.15
Monitor,313,West,0.15
Phone,837,East,0.15
Monitor,1146,South,0.15
Laptop,396,West,0.15
Monitor,1404,North,0.15
Tablet,823,South,0.15
Monitor,1034,East,0.15
Phone,1070,East,0.15
Monitor,792,West,0.15
Tablet,154,East,0.15
Monitor,851,North,0.15
Tablet,1279,West,0.15
Tablet,1274,North,0.15
Laptop,685,East,0.15
Monitor,1140,West,0.15
Tablet,885,North,0.15
Phone,1220,South,0.15
Laptop,1425,South,0.15
Phone,433,South,0.15
Monitor,1294,East,0.15
Tablet,817,South,0.15
Phone,1062,South,0.15
Monitor,1473,North,0.15
Phone,1265,East,0.15
Phone,843,East,0.15
Phone,602,North,0.15
Tablet,1090,South,0.15
Phone,251,South,0.15
Tablet,432,East,0.15
Laptop,250,South,0.15
Phone,104,North,0.15
Laptop,676,South,0.15
Phone,1468,South,0.15
Phone,747,North,0.15
Tablet,244,East,0.15
Monitor,607,South,0.15
Phone,796,West,0.15
Laptop,840,East,0.15
Phone,737,East,0.15
Laptop,525,North,0.15
Laptop,581,West,0.15
Monitor,1184,North,0.15
Tablet,588,South,0.15
Phone,770,West,0.15
Phone,274,East,0.15
Tablet,1432,North,0.15
Laptop,421,East,0.15
Monitor,834,North,0.15
Monitor,498,South,0.15
Monitor,1397,South,0.15
Tablet,1277,West,0.15
Laptop,1473,South,0.15
Monitor,411,West,0.15
Phone,827,North,0.15
Monitor,794,South,0.15
Phone,905,South,0.15
Phone,986,South,0.15
Tablet,1151,South,0.15
Tablet,1484,North,0.15
Tablet,225,East,0.15
Laptop,143,North,0.15
Laptop,809,West,0.15
Laptop,1405,West,0.15
Tablet,754,North,0.15
Phone,548,East,0.15
Tablet,748,North,0.15
Phone,214,South,0.15
Laptop,147,South,0.15
Laptop,582,North,0.15
Tablet,1129,South,0.15
Laptop,1034,West,0.15
Tablet,778,East,0.15
Phone,551,West,0.15
Tablet,1335,West,0.15
Laptop,200,West,0.15
Laptop,1365,East,0.15
Phone,1393,East,0.15
Tablet,1020,East,0.15
Tablet,1438,West,0.15
Monitor,1226,East,0.15
Monitor,461,West,0.15
Phone,297,South,0.15
Laptop,1332,North,0.15
Phone,250,East,0.15
Tablet,106,East,0.15
Monitor,660,North,0.15
Phone,804,East,0.15
Phone,1311,East,0.15
Laptop,1192,South,0.15
Monitor,688,North,0.15
Tablet,882,South,0.15
Monitor,580,East,0.15
Phone,1317,South,0.15
Phone,719,West,0.15
Monitor,1411,South,0.15
Phone,1300,West,0.15
Tablet,573,North,0.15
Monitor,260,West,0.15
Tablet,517,North,0.15
Monitor,744,East,0.15
Tablet,1182,West,0.15
Tablet,1314,South,0.15
Monitor,802,West,0.15
Laptop,384,North,0.15
Laptop,1198,North,0.15
Laptop,958,North,0.15
Phone,584,South,0.15
Monitor,1222,East,0.15
Tablet,978,South,0.15
Laptop,1275,South,0.15
Laptop,1254,West,0.15
Tablet,801,West,0.15
Tablet,715,North,0.15
Monitor,1477,West,0.15
Phone,977,North,0.15
Phone,1179,South,0.15
Laptop,989,East,0.15
Phone,598,East,0.15
Phone,168,North,0.15
Tablet,817,West,0.15
Laptop,131,South,0.15
Phone,116,South,0.15
Tablet,992,North,0.15
Laptop,538,West,0.15
Phone,693,South,0.15
Monitor,1402,South,0.15
Tablet,845,West,0.15
Monitor,612,North,0.15
Monitor,1410,South,0.15
Laptop,1256,North,0.15
Monitor,954,West,0.15
Tablet,1057,East,0.15
Laptop,595,West,0.15
Tablet,1415,West,0.15
Phone,683,East,0.15
Laptop,887,West,0.15
Laptop,198,East,0.15
Phone,888,East,0.15
Laptop,1002,South,0.15
Monitor,1446,North,0.15
Laptop,177,North,0.15
Tablet,915,East,0.15
Laptop,960,West,0.15
Monitor,830,South,0.15
Monitor,671,North,0.15
Monitor,1376,East,0.15
Tablet,167,South,0.15
Laptop,262,West,0.15
Tablet,813,North,0.15
Tablet,245,West,0.15
Laptop,1399,West,0.15
Monitor,1227,East,0.15
Monitor,440,North,0.15
Laptop,966,South,0.15
Phone,559,North,0.15
Tablet,1145,North,0.15
Monitor,844,South,0.15
Phone,297,South,0.15
Monitor,198,South,0.15
Tablet,344,North,0.15
Tablet,1165,East,0.15
Laptop,1155,West,0.15
Tablet,1237,West,0.15
Monitor,1337,West,0.15
Monitor,943,South,0.15
Laptop,1391,South,0.15
Monitor,958,South,0.15
Laptop,312,North,0.15
Monitor,1490,North,0.15
Monitor,259,South,0.15
Laptop,1471,South,0.15
Monitor,1294,North,0.15
Laptop,1292,South,0.15
Monitor,1238,East,0.15
Laptop,339,North,0.15
Monitor,590,East,0.15
Phone,1011,North,0.15
Monitor,782,South,0.15
Monitor,462,South,0.15
Phone,228,East,0.15
Monitor,1111,North,0.15
Monitor,1226,South,0.15
Laptop,124,North,0.15
Laptop,668,South,0.15
Monitor,942,West,0.15
Monitor,682,West,0.15
Laptop,720,South,0.15
Phone,1010,South,0.15
Laptop,757,East,0.15
Laptop,260,East,0.15
Tablet,342,West,0.15
Phone,606,South,0.15
Tablet,436,West,0.15
Monitor,1309,East,0.15
Laptop,1150,East,0.15
Laptop,176,North,0.15
Tablet,742,South,0.15
Phone,1071,North,0.15
Laptop,444,West,0.15
Tablet,483,East,0.15
Phone,1302,East,0.15
Phone,721,West,0.15
Laptop,582,South,0.15
Phone,1256,North,0.15
Phone,838,North,0.15
Laptop,509,West,0.15
Laptop,640,East,0.15
Monitor,660,South,0.15
Laptop,520,East,0.15
Monitor,990,South,0.15
Phone,1406,North,0.15
Tablet,273,West,0.15
Tablet,726,South,0.15
Monitor,927,West,0.15
Laptop,824,East,0.15
Monitor,788,South,0.15
Monitor,882,South,0.15
Phone,828,West,0.15
Phone,1307,West,0.15
Tablet,1468,East,0.15
Tablet,240,West,0.15
Monitor,1139,South,0.15
Tablet,442,West,0.15
Tablet,466,North,0.15
Tablet,1181,East,0.15
Laptop,143,South,0.15
Phone,1250,East,0.15
Tablet,700,East,0.15
Tablet,1344,East,0.15
Phone,1014,North,0.15
Monitor,163,West,0.15
Tablet,650,West,0.15
Laptop,1340,North,0.15
Phone,101,East,0.15
Phone,248,East,0.15
Tablet,611,South,0.15
Phone,1013,South,0.15
Laptop,532,South,0.15
Tablet,882,North,0.15
Tablet,862,West,0.15
Phone,1278,South,0.15
Laptop,854,North,0.15
Laptop,895,North,0.15
Monitor,335,East,0.15
Laptop,1050,North,0.15
Laptop,1241,South,0.15
Laptop,834,North,0.15
Tablet,511,South,0.15
Monitor,837,North,0.15
Monitor,612,North,0.15
Monitor,1141,North,0.15
Monitor,451,South,0.15
Phone,589,East,0.15
Tablet,685,South,0.15
Tablet,905,South,0.15
Laptop,427,West,0.15
Tablet,1189,West,0.15
Laptop,1252,West,0.15
Tablet,737,South,0.15
Monitor,1182,West,0.15
Monitor,461,East,0.15
Phone,203,South,0.15
Monitor,237,South,0.15
Laptop,570,South,0.15
Monitor,495,West,0.15
Laptop,1301,South,0.15
Tablet,722,North,0.15
Monitor,1081,South,0.15
Monitor,851,North,0.15
Laptop,382,South,0.15
Tablet,281,East,0.15
Tablet,1345,South,0.15
Laptop,331,South,0.15
Laptop,967,South,0.15
Tablet,603,West,0.15
Monitor,426,East,0.15
Tablet,1369,North,0.15
Laptop,709,North,0.15
Phone,102,West,0.15
Phone,517,South,0.15
Laptop,755,West,0.15
Monitor,689,West,0.15
Phone,182,West,0.15
Monitor,1390,South,0.15
Tablet,1422,West,0.15
Laptop,1203,North,0.15
Tablet,751,North,0.15
Tablet,267,North,0.15
Phone,1223,South,0.15
Laptop,1057,South,0.15
Phone,1212,West,0.15
Monitor,896,East,0.15
Laptop,980,West,0.15
Phone,1462,West,0.15
Monitor,769,South,0.15
Laptop,346,South,0.15
Tablet,252,North,0.15
Monitor,1165,East,0.15
Monitor,1330,West,0.15
Monitor,1073,South,0.15
Tablet,442,South,0.15
Monitor,1356,West,0.15
Monitor,765,North,0.15
Tablet,687,West,0.15
Phone,712,South,0.15
Monitor,142,East,0.15
Monitor,501,North,0.15
Phone,144,West,0.15
Tablet,203,East,0.15
Phone,737,South,0.15
Laptop,828,South,0.15
Laptop,497,North,0.15
Monitor,531,East,0.15
Tablet,978,North,0.15
Phone,588,North,0.15
Tablet,745,South,0.15
Tablet,1210,South,0.15
Laptop,1474,West,0.15
Monitor,496,South,0.15
Laptop,1085,East,0.15
Phone,1427,East,0.15
Laptop,1084,North,0.15
Laptop,459,East,0.15
Monitor,993,East,0.15
Tablet,1023,North,0.15
Phone,1040,East,0.15
Tablet,1373,West,0.15
Phone,778,West,0.15
Laptop,1298,West,0.15
Phone,437,East,0.15
Tablet,803,South,0.15
Laptop,1248,South,0.15
Monitor,900,North,0.15
Phone,808,South,0.15
Monitor,528,East,0.15
Laptop,476,East,0.15
Tablet,513,North,0.15
Phone,667,North,0.15
Monitor,1402,South,0.15
Laptop,632,South,0.15
Phone,276,North,0.15
Monitor,1287,South,0.15
Laptop,630,North,0.15
Tablet,413,North,0.15
Laptop,302,North,0.15
Monitor,496,South,0.15
Phone,138,West,0.15
Laptop,1307,West,0.15
Monitor,632,South,0.15
Phone,1246,East,0.15
Phone,1439,West,0.15
Monitor,163,West,0.15
Tablet,880,West,0.15
Laptop,967,East,0.15
Phone,1308,North,0.15
Tablet,952,East,0.15
Laptop,473,North,0.15
Monitor,228,South,0.15
Phone,265,South,0.15
Tablet,713,South,0.15
Monitor,612,South,0.15
Tablet,276,East,0.15
Phone,1496,South,0.15
Phone,939,South,0.15
Tablet,503,North,0.15
Tablet,908,East,0.15
Laptop,114,South,0.15
Laptop,236,North,0.15
Laptop,1034,North,0.15
Phone,940,North,0.15
Tablet,1270,East,0.15
Monitor,1265,North,0.15
Monitor,1028,West,0.15
Phone,1135,North,0.15
Phone,1001,South,0.15
Laptop,965,West,0.15
Phone,1034,North,0.15
Laptop,889,North,0.15
Phone,1380,East,0.15
Laptop,440,East,0.15
Monitor,1134,North,0.15
Monitor,531,North,0.15
Tablet,1116,South,0.15
Tablet,996,West,0.15
Monitor,992,North,0.15
Laptop,1054,North,0.15
Tablet,1467,West,0.15
Monitor,663,West,0.15
Monitor,1312,West,0.15
Tablet,1488,North,0.15
Tablet,1145,West,0.15
Laptop,163,West,0.15
Laptop,121,East,0.15
Phone,309,West,0.15
Laptop,196,West,0.15
Tablet,288,East,0.15
Tablet,163,East,0.15
Laptop,1255,South,0.15
Tablet,1030,East,0.15
Laptop,509,South,0.15
Phone,840,West,0.15
Phone,434,East,0.15
Laptop,1453,South,0.15
Monitor,571,North,0.15
Tablet,1202,West,0.15
Tablet,949,West,0.15
Phone,880,North,0.15
Phone,659,East,0.15
Tablet,702,South,0.15
Laptop,1145,North,0.15
Laptop,966,South,0.15
Monitor,890,South,0.15
Tablet,1126,North,0.15
Monitor,1376,East,0.15
Monitor,179,North,0.15
Laptop,1280,West,0.15
Phone,1150,North,0.15
Phone,102,North,0.15
Tablet,343,South,0.15
Phone,142,North,0.15
Tablet,1394,South,0.15
Monitor,892,South,0.15
Phone,970,North,0.15
Laptop,722,West,0.15
Phone,1183,North,0.15
Monitor,663,East,0.15
Phone,208,South,0.15
Monitor,1306,East,0.15
Phone,705,North,0.15
Monitor,810,South,0.15
Tablet,588,West,0.15
Monitor,721,East,0.15
Laptop,119,East,0.15
Tablet,1229,South,0.15
Laptop,1030,East,0.15
Tablet,467,East,0.15
Monitor,826,West,0.15
Tablet,115,West,0.15
Monitor,1283,East,0.15
Tablet,655,East,0.15
Phone,1488,South,0.15
Tablet,1220,West,0.15
Monitor,387,South,0.15
Phone,412,East,0.15
Monitor,168,West,0.15
Monitor,452,South,0.15
Phone,919,North,0.15
Tablet,1012,South,0.15
Laptop,189,West,0.15
Laptop,133,West,0.15
Monitor,1151,East,0.15
Laptop,635,South,0.15
Monitor,938,South,0.15
Tablet,827,North,0.15
Tablet,114,West,0.15
Monitor,616,South,0.15
Phone,1071,North,0.15
Monitor,832,South,0.15
Phone,542,East,0.15
Laptop,211,North,0.15
Laptop,220,North,0.15
Laptop,761,South,0.15
Phone,702,North,0.15
Tablet,1061,West,0.15
Tablet,731,North,0.15
Phone,538,East,0.15
Tablet,563,South,0.15
Phone,556,South,0.15
Tablet,992,West,0.15
Phone,950,South,0.15
Tablet,738,North,0.15
Phone,645,South,0.15
Tablet,1298,East,0.15
Laptop,1200,South,0.15
Laptop,1483,East,0.15
Tablet,161,North,0.15
Monitor,246,East,0.15
Monitor,441,East,0.15
Laptop,1337,West,0.15
Tablet,854,South,0.15
Phone,129,West,0.15
Laptop,1392,West,0.15
Tablet,1376,East,0.15
Monitor,1354,North,0.15
Tablet,1003,West,0.15
Laptop,902,South,0.15
Monitor,598,South,0.15
Laptop,1003,East,0.15
Tablet,1329,South,0.15
Phone,559,South,0.15
Tablet,506,East,0.15
Tablet,1257,North,0.15
Laptop,1354,East,0.15
Monitor,815,North,0.15
Tablet,1268,East,0.15
Laptop,121,South,0.15
Tablet,224,East,0.15
Tablet,605,North,0.15
Monitor,812,North,0.15
Monitor,812,South,0.15
Laptop,638,South,0.15
Laptop,789,West,0.15
Tablet,645,West,0.15
Laptop,339,West,0.15
Laptop,1223,East,0.15
Tablet,606,West,0.15
Tablet,1104,North,0.15
Laptop,536,North,0.15
Phone,249,East,0.15
Monitor,322,East,0.15
Phone,1104,East,0.15
Monitor,503,South,0.15
Monitor,1138,North,0.15
Phone,205,South,0.15
Tablet,698,East,0.15
Phone,1177,East,0.15
Laptop,1367,East,0.15
Tablet,1231,East,0.15
Laptop,275,North,0.15
Monitor,1083,South,0.15
Phone,511,South,0.15
Laptop,454,North,0.15
Tablet,830,South,0.15
Laptop,1223,East,0.15
Tablet,770,South,0.15
Tablet,220,South,0.15
Laptop,142,East,0.15
Phone,617,South,0.15
Laptop,1232,West,0.15
Monitor,1215,South,0.15
Tablet,1135,West,0.15
Phone,523,North,0.15
Monitor,283,South,0.15
Monitor,284,East,0.15
Monitor,844,East,0.15
Phone,545,North,0.15
Tablet,1280,East,0.15
Monitor,251,North,0.15
Tablet,1319,South,0.15
Monitor,231,North,0.15
Tablet,559,North,0.15
Tablet,328,West,0.15
Laptop,348,South,0.15
Monitor,1291,West,0.15
Laptop,717,West,0.15
Laptop,1490,South,0.15
Phone,950,East,0.15
Laptop,353,North,0.15
Phone,1357,West,0.15
Monitor,270,West,0.15
Phone,225,North,0.15
Tablet,315,West,0.15
Laptop,910,North,0.15
Monitor,253,North,0.15
Monitor,1411,South,0.15
Phone,875,North,0.15
Monitor,468,South,0.15
Tablet,797,North,0.15
Tablet,1070,North,0.15
Tablet,210,North,0.15
Tablet,1243,South,0.15
Phone,1180,West,0.15
Phone,1063,South,0.15
Tablet,717,West,0.15
